,Commit Message,IsFix
0,"Change BenchmarkTfLiteModel::InputTensorData to use proper type-erased pointers for data storage, avoiding undefined behaviors around aliasing rules, alignment requirements, and C++ object lifetimes. Also use unique_ptr for memory management.

PiperOrigin-RevId: 274698661
",True
1,"Code clarification
",False
2,"panfrost: Add kernel-agnostic resource management

Various methods relating to resource management were previously marked
as kernel-specific, forcing them to stay downstream in the vendor
overlay and eventually be duplicated for DRM code. This patch adds back
this code in kernel-neutral space, allowing for code sharing and
minimising the diff to downstream.

Signed-off-by: Alyssa Rosenzweig <alyssa@rosenzweig.io>
",False
3,"Check if filter is a constant only in the forward pass for Depthwise Conv2D.
",False
4,"panfrost: Handle missing texture case

In some cases, Gallium can give us bad info about the texture count,
counting some NULL textures. We pass Gallium's info to the hardware
blindly, which can confuse the hardware in edge cases. This patch
adjusts accordingly.
",True
5,"Add auto control dependencies for TPU collective ops.

PiperOrigin-RevId: 294963807
Change-Id: Idf17c9d718b6655ba7459ef9b21f7e92fb3bdfee
",False
6,"Add api for get original image size

Change-Id: I3a137213ffcfc19f0bdaf429023355e9e5479d2d
",False
7,"network: introduce TrafficControl

Add network delay to a interface
",False
8,"update version information file. Also upadate tensorrt bazel configuration file
",False
9,"Fix extension gallery zip layout (#110)

Update help docs.

Enable FinalizeQueue command on xplat",False
10,"[XLA] Reduce number of lookups into nested hash table

The nested lookup is actually expensive, and there's no reason for doing it 4
times if 2 times is sufficient.

PiperOrigin-RevId: 307379544
Change-Id: I1f02bcc3d014e832eee9f817d70ea64f47bd02bd
",False
11,"Enable TextVectorization to be used with 1D batches of strings (so users don't
have to insert an expand_dims op when mapping the layer in a tf.data pipeline).

PiperOrigin-RevId: 307410571
Change-Id: I05de257988dd62e8397165aabfca9ae7a164834c
",False
12,"Implement auto_set feature

When a theme package set auto_set in metadata, theme manager will set
that theme automatically after installation.
auto_set will only work when the package is signed as platform privilege level.

Change-Id: I1cc6aad1fc627d97798e97037b260ae10635ba2e
Signed-off-by: Sangyoon Jang <jeremy.jang@samsung.com>
",False
13,"[Tizen] Skip System.Net.NetworkInformation.Tests.UnixPingUtilityTests.PacketSizeIsRespected tests
",False
14,"[Converter] add option about supported media type

1. add meson option to disable video support.
tensor-converter will not get the video if video-support disabled.
2. add macros for media format and info to disable audio/video stream.

Signed-off-by: Jaeyun Jung <jy1210.jung@samsung.com>
",False
15,"Adding CompositeTensor support for MultiDeviceIteratorV2.

PiperOrigin-RevId: 258893591
",False
16,"Sort hidden profiles based on modified time.

When there are multiple hidden profiles stored in connman, sort
hidden profiles based on modified time (latest on top) and then
send scan request.

Change-Id: Ib27a31db94b4fafe9521414ab19702f08f5df783
Signed-off-by: Niraj Kumar Goit <niraj.g@samsung.com>
",False
17,"hal: change some function name
",False
18,"""e g "" to ""e.g.""",False
19,"Remove need for PressEnter on test 5535 because it crashes iOS 12 tests
",True
20,"[Profiler] Add KPI-related arguments to TraceMe.

PiperOrigin-RevId: 313699382
Change-Id: I99f9d37314ba4551c199bb5681fdc5a3e91d7f92
",False
21,"Moves common COM type to shared corelib partition (dotnet/corert#6782)

* Moves common COM type to shared corelib partition

* Moves GetHRForException to PInvokeMarshal

* Add temporary CORECLR ifdef to ArrayWithOffset

* Apply cleanup from CoreCLR

Signed-off-by: dotnet-bot <dotnet-bot@microsoft.com>
",False
22,"table: add TABLE_IFINDEX type
",False
23,"src/libFLAC/stream_decoder.c : Fix buffer read overflow.

This is CVE-2014-8962.

Reported-by: Michele Spagnuolo,
             Google Security Team <mikispag@google.com>

https://git.xiph.org/?p=flac.git;a=commit;h=5b3033a2b355068c11fe637e14ac742d273f076e

Change-Id: Ic9d1d567bd31323a6a9fce92e4acb0d1b60ce14e
",True
24,"Added ROCm support for identity op
",False
25,"[NUI] Add Component Application sample (#2097)

app_launcher -s org.tizen.example.NUIComponentApplication __AUL_COMPONENT_ID__ csharp_frame

Signed-off-by: huiyu.eun <huiyu.eun@samsung.com>",False
